Address, Offset, Name, Disasm, Value
"0x4f8c68", "0xf8c68", "flt_4F8C68", "dd 5.0000001e-2", "5.00000007450580596923828e-2"
"0x4f8c6c", "0xf8c6c", "flt_4F8C6C", "dd 6.0e1", "6.e1"
"0x4f8c70", "0xf8c70", "flt_4F8C70", "dd 8.0000001e-1", "8.00000011920928955078125e-1"
"0x4f8c74", "0xf8c74", "flt_4F8C74", "dd 7.625e1", "7.625e1"
"0x4f8c78", "0xf8c78", "flt_4F8C78", "dd 2.0e2", "2.e2"
"0x4f8c80", "0xf8c80", "flt_4F8C80", "dd 1.8e1", "1.8e1"
"0x4f8c84", "0xf8c84", "flt_4F8C84", "dd 1.5e1", "1.5e1"
"0x4f8c88", "0xf8c88", "flt_4F8C88", "dd 3.75e3", "3.75e3"
"0x4f8c8c", "0xf8c8c", "flt_4F8C8C", "dd 1.25e2", "1.25e2"
"0x4f8c90", "0xf8c90", "flt_4F8C90", "dd 8.3379997e1", "8.337999725341796875e1"
"0x4f8c94", "0xf8c94", "flt_4F8C94", "dd 1.3333334", "1.33333337306976318359375"
"0x4f8c98", "0xf8c98", "flt_4F8C98", "dd 2.9719999", "2.9719998836517333984375"
"0x4f8c9c", "0xf8c9c", "flt_4F8C9C", "dd 7.5e-1", "7.5e-1"
"0x4f8ca0", "0xf8ca0", "flt_4F8CA0", "dd 1.0213953e-3", "1.02139532100409269332886e-3"
"0x4f8ca4", "0xf8ca4", "flt_4F8CA4", "dd 2.5e1", "2.5e1"
"0x4f8ca8", "0xf8ca8", "flt_4F8CA8", "dd 9.8100004", "9.81000041961669921875"
"0x4f8cac", "0xf8cac", "flt_4F8CAC", "dd 1.9620001e1", "1.96200008392333984375e1"
"0x4f8cb0", "0xf8cb0", "flt_4F8CB0", "dd 1.6823688e-1", "1.68236881494522094726562e-1"
"0x4f8cb4", "0xf8cb4", "flt_4F8CB4", "dd -2.9719999", "-2.9719998836517333984375"
"0x4f8cc0", "0xf8cc0", "flt_4F8CC0", "dd 4.4444447", "4.4444446563720703125"
"0x4f8cc4", "0xf8cc4", "flt_4F8CC4", "dd 8.3059998", "8.305999755859375"
"0x4f8cc8", "0xf8cc8", "flt_4F8CC8", "dd 9.8000002e-1", "9.80000019073486328125e-1"
"0x4f8ccc", "0xf8ccc", "flt_4F8CCC", "dd 2.2222222e-1", "2.22222223877906799316406e-1"
"0x4f8cd0", "0xf8cd0", "flt_4F8CD0", "dd 6.6666665", "6.666666507720947265625"
"0x4f8cd4", "0xf8cd4", "flt_4F8CD4", "dd 2.6670001", "2.6670000553131103515625"
"0x4f8cd8", "0xf8cd8", "flt_4F8CD8", "dd 2.0e-1", "2.00000002980232238769531e-1"
"0x4f8cdc", "0xf8cdc", "flt_4F8CDC", "dd -5.8860006", "-5.88600063323974609375"
"0x4f8ce0", "0xf8ce0", "flt_4F8CE0", "dd 1.22", "1.2200000286102294921875"
"0x4f8ce4", "0xf8ce4", "flt_4F8CE4", "dd -1.9620001", "-1.9620001316070556640625"
"0x4f8ce8", "0xf8ce8", "flt_4F8CE8", "dd 5.3340001", "5.334000110626220703125"
"0x4f8cec", "0xf8cec", "flt_4F8CEC", "dd 8.3059998", "8.305999755859375"
"0x4f8cf0", "0xf8cf0", "flt_4F8CF0", "dd 5.3333333e-3", "5.33333327621221542358398e-3"
"0x4f8cf4", "0xf8cf4", "flt_4F8CF4", "dd 3.125e1", "3.125e1"
"0x4f8cf8", "0xf8cf8", "flt_4F8CF8", "dd 2.4000001", "2.400000095367431640625"
"0x4f8cfc", "0xf8cfc", "flt_4F8CFC", "dd 6.0000002e-1", "6.0000002384185791015625e-1"
"0x4f8d00", "0xf8d00", "flt_4F8D00", "dd 8.888889e-1", "8.88888895511627197265625e-1"
"0x4f8d04", "0xf8d04", "flt_4F8D04", "dd -5.3340001", "-5.334000110626220703125"
"0x4f8d08", "0xf8d08", "flt_4F8D08", "dd 3.3333333", "3.3333332538604736328125"
"0x4f8d0c", "0xf8d0c", "flt_4F8D0C", "dd 1.9999991e5", "1.9999990625e5"
"0x4f8d10", "0xf8d10", "flt_4F8D10", "dd 3.125", "3.125"
"0x4f8d14", "0xf8d14", "flt_4F8D14", "dd 2.2222223", "2.22222232818603515625"
"0x4f8d18", "0xf8d18", "flt_4F8D18", "dd 2.0", "2."
"0x4f8d1c", "0xf8d1c", "flt_4F8D1C", "dd 1.5250001", "1.525000095367431640625"
"0x4f8d20", "0xf8d20", "flt_4F8D20", "dd -1.4999999e-1", "-1.49999991059303283691406e-1"
"0x4f8d24", "0xf8d24", "flt_4F8D24", "dd 8.8888893", "8.888889312744140625"
"0x4f8d28", "0xf8d28", "flt_4F8D28", "dd -3.9240002e1", "-3.9240001678466796875e1"
"0x4f8d2c", "0xf8d2c", "flt_4F8D2C", "dd 3.9240002e1", "3.9240001678466796875e1"
